user_standort,timestamp_meldung,timestamp_letzteBearbeitung,user_text,user_kategorie,ki_stelle,ki_prio
"(52.421, 10.795)",2024-11-11 11:53:11,2024-11-11 17:53:11,Straßenlaterne vor meinem Haus flackert,Straßenbeleuchtung,Straßenbau,low
"(52.421, 10.795)",2024-08-05 10:54:57,2024-08-05 20:54:57,Mülleimer im Park ist überfüllt,Abfallentsorgung,Stadtreinigung,low
"(52.421, 10.795)",2025-03-03 17:25:59,2025-03-05 15:25:59,Glasscherben auf dem Spielplatz,Spielplatz verunreinigt/defekt,Landschaftsbild,medium
"(52.420148, 10.769726)",2024-08-13 13:09:30,2024-08-14 15:09:30,Eichenprozessionsspinner gesichtet,Grünfläche/Unkraut/ Eichenprozessionsspinner,Landschaftsbild,medium
"(52.426669, 10.790072)",2024-08-30 14:20:48,2024-09-01 01:20:48,"Gulli verstopft, Wasser staut sich",Verstopfter Gulli,Straßenbau,medium
"(52.426669, 10.790072)",2024-11-19 18:08:56,2024-11-19 20:08:56,Abfluss ist verstopft nach Regen,Verstopfter Gulli,Straßenbau,medium
"(52.425, 10.782)",2024-10-19 23:27:27,2024-10-21 13:27:27,Stein am Brunnen beschädigt,Schaden am Brunnen,Landschaftsbild,low
"(52.43, 10.78)",2025-01-20 11:18:43,2025-01-20 20:18:43,Illegale Müllablagerung am Straßenrand,Abfallentsorgung,Stadtreinigung,low
"(52.420148, 10.769726)",2025-01-08 08:38:11,2025-01-09 00:38:11,Graffiti an der Schulwand,Vandalismus,Stadtreinigung,medium
"(52.428, 10.775)",2024-08-16 21:59:49,2024-08-17 16:59:49,Straße nach Sturm nicht geräumt,Straßenreinigung/ Winterdienst,Stadtreinigung,medium
"(52.420148, 10.769726)",2025-02-11 03:33:21,2025-02-11 16:33:21,Graffiti an der Schulwand,Vandalismus,Stadtreinigung,medium
"(52.4195, 10.7705)",2025-01-31 20:28:10,2025-02-02 20:28:10,Straßenlaterne vor meinem Haus flackert,Straßenbeleuchtung,Straßenbau,low
"(52.420148, 10.769726)",2024-09-11 15:50:53,2024-09-12 03:50:53,Brunnenpumpe funktioniert nicht,Schaden am Brunnen,Landschaftsbild,low
"(52.428, 10.775)",2025-01-31 06:21:00,2025-02-01 03:21:00,Markierung auf der Straße kaum sichtbar,Verkehrshinweise,Straßenbau,medium
"(52.428, 10.775)",2024-08-21 23:30:07,2024-08-22 21:30:07,Graffiti an der Schulwand,Vandalismus,Stadtreinigung,medium
"(52.4195, 10.7705)",2025-02-28 12:51:27,2025-02-28 18:51:27,Illegale Müllablagerung am Straßenrand,Abfallentsorgung,Stadtreinigung,low
"(52.421, 10.795)",2024-10-17 15:08:35,2024-10-18 19:08:35,Markierung auf der Straße kaum sichtbar,Verkehrshinweise,Straßenbau,medium
"(52.420148, 10.769726)",2024-11-15 05:52:31,2024-11-16 21:52:31,Graffiti an der Schulwand,Vandalismus,Stadtreinigung,medium
"(52.426669, 10.790072)",2024-09-24 00:41:03,2024-09-25 17:41:03,Spielgeräte defekt,Spielplatz verunreinigt/defekt,Landschaftsbild,medium
